Classe;n_contorno;Área;Diâmetro;Minor;Diretorio;Imagem
;0;9585,5;4,933331945195333;1,123492731847979;.\originalGrayDataset;0189.png
;1;2539,0;4,0;1,632993161855452;.\originalGrayDataset;0189.png
;2;1595,5;2,82842712474619;1,732050807568877;.\originalGrayDataset;0189.png
;0;37278,5;10,380215975976183;7,597072207742695;.\originalGrayDataset;0191.png
;1;3435,0;4,381780460041329;2,683281572999748;.\originalGrayDataset;0191.png
;2;1569,0;3,464101615137754;1,414213562373095;.\originalGrayDataset;0191.png
;0;20895,0;6,673994557134287;2,99295784322832;.\originalGrayDataset;0193.png
;1;7139,0;6,34001103350453;0,874219706390114;.\originalGrayDataset;0193.png
;2;6331,0;3,23606797749979;1,23606797749979;.\originalGrayDataset;0193.png
;0;30908,0;3,677088528342677;0,837402040213009;.\originalGrayDataset;0195.png
;1;6432,5;10,939154203852697;4,191595544129531;.\originalGrayDataset;0195.png
;2;6233,0;4,155374705678736;1,905471133100374;.\originalGrayDataset;0195.png
;0;36151,5;7,016464154456234;2,218800784900917;.\originalGrayDataset;0196.png
;1;7281,0;6,081053090682383;2,192240241224575;.\originalGrayDataset;0196.png
;2;1341,5;4,47213595499958;2,0;.\originalGrayDataset;0196.png
;0;36291,5;10,380255202214498;3,386908976782315;.\originalGrayDataset;0197.png
;1;3386,5;3,126943839882286;2,309401076758503;.\originalGrayDataset;0197.png
;2;1319,5;6,343898075098332;1,853363756191339;.\originalGrayDataset;0197.png
;0;36339,5;3,265986323710904;2,0;.\originalGrayDataset;0198.png
;1;1591,0;8,732552396335315;2,636741395827097;.\originalGrayDataset;0198.png
;2;1300,5;6,843275670546393;2,94441472909436;.\originalGrayDataset;0198.png
;0;36275,5;5,896459480240757;1,342830655483958;.\originalGrayDataset;0199.png
;1;4089,0;2,0;2,0;.\originalGrayDataset;0199.png
;2;1409,5;7,30123226034564;3,113754596640613;.\originalGrayDataset;0199.png
;0;7959,5;3,098386676965933;1,788854381999832;.\originalGrayDataset;0200.png
